School_Name,EMIS,District,Enrolment,Boys,Girls,Total_Toilets_available,Teachers_toilets,Girls_toilets,Boys_toilets,Urinals,Pit_toilets,VIP_toilets,Flushing_toilets,Enviro_toilets,Sanitation_Plan,Construction,Water,Notes
Tlakulani Secondary School,916411112,Mopani,528,261,267,21,0,0,0,0,0,0,0,21,No,Complete,Yes,Missing textbooks
Tlame Primary School,924642992,Sekhukhune,550,279,271,16,0,0,0,0,0,16,0,0,Yes,Complete,Yes,Need 20 desks and chairs for learners. 08/05: no furniture delivered. 
Tshabadietla Secondary School,925661344,Sekhukhune,498,234,264,16,0,0,0,0,0,16,0,0,No,Complete,Yes,17/03 Dilapidated classrooms. Have been provided with mobile classrooms. Some of the mobile classrooms are old and and falling apart. 08/05: need 200 desks
Tshianane Secondary School,928331650,Vhembe,401,198,203,12,0,0,0,0,0,12,0,0,Yes,Complete,Yes,08/05: construction of 8 new classrooms is underway. 
Tshinavhe Secondary School,930321530,Vhembe,320,153,167,12,0,0,0,0,0,12,0,0,Yes,Complete,Yes,"VIP toilets are situated at the bottom of a slope, so when it rains, the toilets flood. School needs training on maintenance of VIP toilets. "
Tshehlwaneng Primary School,925661351,Sekhukhune,1225,606,619,6,0,0,0,0,6,0,0,0,No,n/a,Yes,Need 20 classrooms. 
Tshitandani Primary School,929311298,Vhembe,104,54,50,2,0,0,0,0,2,0,0,0,Yes,Hasn’t started,No,"08/05: no construction, need 30 desks and chairs for learners"
Tshividzo Masiagwala Secondary School,930350026,Vhembe,290,130,160,12,0,0,0,0,0,12,0,0,Yes,Complete,Yes,Need a perimeter fence because they keep getting robbed. 
Tsogang Primary School,918511487 ,Mopani,219,110,109,4,0,0,0,0,4,0,0,0,Yes,N/A,Yes,"Snakes living in pit toilets
08/05: construction of toilets has not begun, but construction of 4 new classrooms and a nutrition centre is underway"
Tswetlane Primary School,925621209,Sekhukhune,226,118,108,12,0,0,0,0,0,12,0,0,Yes,Complete,Yes,"Need new boreholes because in winter, they don’t get water. There is a problem with the pipes. They need 100 desks. "
Valdezia Primary School,905331131,Vhembe,342,186,156,12,0,0,0,0,0,12,0,0,Yes,Complete,Yes,Need training on toilets. 
Vhulaudzi Secondary School,928330930,Vhembe,695,349,346,14,0,7,7,0,14,0,0,0,No,No construction,No,
Ximunwana Secondary School,905361620,Vhembe,290,,,2,0,0,0,0,0,2,0,0,Yes,Complete,Yes,260 desks and chairs for learners. Need more toilets because 2 is insufficient for the number of learners. 
